PUD-UNIVERSITY RIDGE,
OV-WASHOE REGIONAL CENTER PLANNING AREA,
OV-RENO-TAHOE INTERNATIONAL AIRPORT REGIONAL CENTER,
OV-UT-40,
SPD-ALEXANDER LAKE SPECIFIC PLAN,
OV-WEST UNIVERSITY NEIGHBORHOOD PLAN,
PUD-CAUGHLIN RANCH,
OV-NORTH VIRGINIA STREET TC,
PUD-SKY VISTA,
SPD-DAMONTE RANCH RESIDENTIAL,
PUD-DOUBLE DIAMOND RANCH RESIDENTIAL,
SPD-CURTI RANCH,
OV-MH,
PUD-SHARLANDS,
OV-RENO-STEAD REGIONAL CENTER PLANNING AREA,
OV-UNIVERSITY OF NEVADA  CENTER PLANNING AREA,
OV-PL,
PUD-SOMERSETT,
SPD-THE COTTAGES,
SPD-BELSERA,
SPD-WDDP,
PUD-JUNIPER RIDGE,
OV - Downtown Reno Regional Center,
PUD-EDGEWATER,
SPD-WILD STALLION,
PUD-DAMONTE RANCH TRADE CENTER,
OV-Dandini Regional Center,
OTHER-MORTENSEN-GARSON SPD OVERLAY,
SPD-MOUNTAIN VIEW-CASTLE CREEK,
OV-WEST 4TH STREET TOD,
SPD-The Pines,
SPD-SHOPPERS SQUARE,
OV-EAST 4TH STREET TRANSIT CORRIDOR,
SPD-ROSEWOOD LAKES,
OV-REDFIELD REGIONAL CENTER,
OV-GREENFIELD,
PUD-SJ RANCH,
SPD-CONTINENTAL COMMERCIAL CENTER,
PUD-SOUTH MEADOWS I AND II,
PUD-SOUTH MEADOWS III,
PUD-RANCHARRAH,
OV-PLUMB LANE CROSSING,
OV - Downtown Reno Regional Center/Historic Landmark,
OV-HL,
SPD-TRADITIONS AT COURT STREET,
SPD-SOUTHEAST TRUCKEE MEADOWS SPECIFIC PLAN,
OV-UT-5,
SPD-GOLDEN VALLEY INDUSTRIAL PARK,
SPD-FIRST COMMUNITY CENTER,
SPD-PLUMGATE,
SPD-HOLCOMB CONDOMINIUMS,
PUD-SIERRA EXECUTIVE CENTER,
SPD-MCQUEEN CROSSING,
OV-MILL STREET TRANSIT CORRIDOR,
SPD-NEVDEX OFFICE PARK,
PUD-HILTON PROPERTIES,
SPD-FIRST INDEPENDENT BANK CENTER,
SPD-MEADOWOOD MALL,
OV-RIVERS LANDING AT MILL,
SPD-MAYBERRY LANDING,
SPD-IDI-STEAD BUSINESS CENTER,
SPD-CLUB LAKERIDGE,
SPD-MANZANITA PASS,
SPD-VILLAGIO DELLA MONTAGNA,
OV-PL/HL,
SPD-MACHABEE OFFICE ENVIRONMENTS,
SPD-REDFIELD SUITES,
SPD-SOUTHEAST TRUCKEE MEADOWS,
PUD-QUAIL VALLEY IN THE PINES,
PUD - Bella Vista Ranch,
SPD-MDC-PLUM TREE PLAZA,
SPD-VERDI BUSINESS PARK,
PUD-SIERRA CANYON II,
OV-UT-10,
PUD-KEYSTONE COMMUNITY CAMPUS,
SPD-TAMARACK JUNCTION
